hostid,host,class,HST_1,HST_2,HST_3,HST_4,HST_5,HST_6
105,aberdour.surrey.sch.uk,nonspam,124,3,5.669354839,0.524193548,0.191814,1.786177106
106,aberlets.org.uk,nonspam,34,3,4.970588235,0,0.116713,1.215568862
107,abfabweddings.co.uk,nonspam,73,9,5.493150685,0.01369863,0.0401,1.554098361
109,aboutscotland.co.uk,nonspam,510,6,5.150980392,0.117647059,0.215134,2.256834532
110,abrahamshaw.co.uk,nonspam,20,2,3.9,0.05,0.269896,0.830508475
112,abs1100.aston.ac.uk,nonspam,147,6,4.761904762,0,0.351406,2.385915493
114,absw.org.uk,nonspam,522,5,4.975095785,0.009578544,0.0711273,2.325876212
115,abyssgiftshop.co.uk,nonspam,171,0,5.473684211,0.070175439,0.0651402,1.854271357
117,academy-shaolin.co.uk,nonspam,29,5,5.310344828,0.310344828,0.0885057,1.21192053
119,acbelting.co.uk,nonspam,307,0,5.026058632,0.09771987,0.113715,1.982851018
122,access2000.co.uk,nonspam,61,18,5.163934426,0,0.252606,1.522267206
123,accessdrivingtuition.co.uk,nonspam,632,19,5.085443038,0.001582278,0.383578,2.756989247
124,accessibility.english-heritage.org.uk,nonspam,10,2,5,0.1,0.3125,0.697674419
126,accfinweb.account.strath.ac.uk,nonspam,108,4,5.981481481,0.564814815,0.109789,1.679287305
128,accountants.2cuk.co.uk,nonspam,227,1,5.352422907,0,0.100847,2.062947067
129,accounting-translationserv.sagenet.co.uk,nonspam,27,0,5.148148148,0.037037037,0.350126,1.160839161
130,acda.co.uk,nonspam,100,10,4.85,0.02,0.0266498,1.652542373
131,acf.co.uk,nonspam,17,3,5.235294118,0.117647059,0.154783,0.913793103
132,achamilton.co.uk,nonspam,503,4,4.838966203,0.071570577,0.460636,2.569553806
133,ackone.users.netlink.co.uk,nonspam,1155,6,4.346320346,0.081385281,0.284194,2.531775318
135,acorn.cybervillage.co.uk,nonspam,921,12,4.701411509,0.058631922,0.246219,2.315255732
136,acorncontrol.co.uk,nonspam,270,2,4.248148148,0.885185185,0.223892,2.015647226
138,acquisitions-jesmond.co.uk,nonspam,14,1,5.214285714,0.071428571,0.116427,0.87
139,action.hants.org.uk,nonspam,513,3,5.245614035,0.138401559,0.148954,2.330181818
140,actionbouncycastles.co.uk,nonspam,11,7,5.272727273,0.545454545,0.0408163,0.75
141,actionnet-northstaffs.co.uk,nonspam,5,5,6.8,0,0.0424469,0.549295775
142,activeskydiving.co.uk,nonspam,496,2,5.518145161,0.014112903,0.163023,2.46042618
143,activetemp.livjm.ac.uk,nonspam,10,2,5,0.1,0.308642,0.697674419
144,activeweb.livjm.ac.uk,nonspam,10,2,5,0.1,0.310559,0.697674419
145,activities-snowdonia.co.uk,nonspam,149,6,5.926174497,0.429530201,0.0718529,1.897058824
146,acton.leisureconnection.co.uk,nonspam,10,2,5,0.1,0.3125,0.697674419
147,actorspace.co.uk,nonspam,1781,7,5.564289725,0.112296463,0.275515,2.77366548
148,actsofachievement.org.uk,nonspam,406,10,5.103448276,0.199507389,0.198145,2.154782609
150,adam.ac.uk,nonspam,257,9,4.435797665,0.116731518,0.134497,2.007183908
151,adamsmotors.co.uk,nonspam,102,9,5.225490196,0.098039216,0.0924705,1.649350649
153,adandjosattic.co.uk,nonspam,10,4,3.6,0.6,0.0132792,0.597402597
154,adapsys.feis.herts.ac.uk,nonspam,435,11,6.193103448,0.133333333,0.226768,2.537712895
155,adbaptistchurch.org.uk,nonspam,241,7,4.854771784,0.024896266,0.205011,1.919727891
156,addlestone.org.uk,nonspam,1,1,10,0,0.0131752,0.203703704
157,adelphiaholistics.co.uk,nonspam,209,28,5.397129187,0.038277512,0.285281,1.969072165
158,adhesions.org.uk,nonspam,1520,0,5.341447368,0.010526316,0.631436,2.982363861
160,admin.applegate.co.uk,nonspam,490,3,5.895918367,0.504081633,0.0982453,2.273889637
161,adopt-a-cat.co.uk,nonspam,24,7,3.375,0.291666667,0.132137,1.280487805
162,adpa.co.uk,nonspam,394,13,4.73857868,0.005076142,0.319145,2.115060804
163,ads.ahds.ac.uk,nonspam,583,4,4.941680961,0.142367067,0.155721,2.43258427
164,ads.cinemas-online.co.uk,nonspam,28,3,4.107142857,0.035714286,0.326705,1.036231884
175,adult.waywardmedia.co.uk,nonspam,360,9,5.05,0,0.302044,2.317021277
176,adventuredolphin.co.uk,nonspam,669,6,5.714499253,0.007473842,0.138781,2.596531792
177,adventuresport.co.uk,nonspam,338,8,5.535502959,0.162721893,0.416889,2.315513627
180,advintage-wines.co.uk,nonspam,553,2,4.453887884,0.432188065,0.170155,2.171346292
181,aephotography.co.uk,nonspam,42,6,5.452380952,0,0.0866768,1.26635514
182,aerade.cranfield.ac.uk,nonspam,591,1,5.255499154,0.081218274,0.214814,2.413185379
183,aerodrome-hotel.co.uk,nonspam,542,23,4.859778598,0.02398524,0.094534,2.34045689
186,af-motorcycle-training.co.uk,nonspam,208,0,4.600961538,0.461538462,0.0692174,1.891233766
188,affectivetherapy.co.uk,nonspam,418,2,5.318181818,0.220095694,0.143623,2.186258278
189,affiliates.new.ox.ac.uk,nonspam,23,3,4.391304348,0.086956522,0.275956,0.976377953
190,affinity.org.uk,nonspam,22,3,4.454545455,0.045454545,0.214442,0.94488189
191,affinitypc.co.uk,nonspam,186,11,5.274193548,0.02688172,0.127868,1.945
192,affordablesupplements.co.uk,nonspam,10,2,4.6,0.1,0.335766,0.7
193,african-drumbeat.co.uk,nonspam,734,0,5.102179837,0.036784741,0.13515,2.465052284
195,agatha.york.ac.uk,nonspam,161,1,4.863354037,0.055900621,0.48513,1.954451346
197,agendas.luton.gov.uk,nonspam,524,0,4.679389313,0.219465649,0.0594828,2.789128397
198,ageraromatherapy.co.uk,nonspam,382,8,5.196335079,0.104712042,0.223637,2.350546177
200,agoriad.org.uk,nonspam,19,2,3.789473684,0.052631579,0.258065,0.834862385
201,agreatbuy.co.uk,nonspam,22,8,5.136363636,0.772727273,0.0147597,1.007462687
202,agrifor.ac.uk,nonspam,157,14,6.114649682,3.006369427,0.0736479,1.952797203
203,agriyork.co.uk,nonspam,247,15,5.303643725,0.246963563,0.234893,2.076
204,ah.brookes.ac.uk,nonspam,5,5,5,0,0.0776398,0.447761194
205,ahds.ac.uk,nonspam,298,14,5.406040268,2.063758389,0.094128,2.267220903
206,ahpr.co.uk,nonspam,593,16,5.134907251,0.064080944,0.570438,3.11739503
207,aidcall-alarms.co.uk,nonspam,23,3,4.434782609,0.043478261,0.319749,0.984251969
209,aikido-baa.org.uk,nonspam,3,3,8,0,0.0295203,0.415384615
211,air3.susaonline.org.uk,nonspam,396,6,4.734848485,0.484848485,0.20396,2.14245283
214,airport-parking-birmingham.co.uk,nonspam,657,4,4.152207002,0.02130898,0.218502,2.481671554
216,airportwatch.org.uk,nonspam,412,3,5.351941748,0.060679612,0.393188,2.361913357
217,airservicetraining.co.uk,nonspam,2,2,8,0,0.057554,0.310344828
218,aisu.lboro.ac.uk,nonspam,20,2,3.65,0.05,0.249147,0.815789474
219,ajhdesigns.congleton-cheshire.co.uk,nonspam,277,6,4.097472924,0,0.210614,2.067349927
220,akihabara.20six.co.uk,nonspam,1619,5,3.820259419,0.006794317,0.105451,2.923941551
222,aktech.co.uk,nonspam,804,11,5.40920398,0.09079602,0.134803,2.598587998
223,alakazam.co.uk,nonspam,2962,9,4.589804186,0.336259284,0.112504,2.692195122
226,alangordon-health.co.uk,nonspam,251,7,4.84063745,0.143426295,0.123626,1.931488801
228,alanwreford.pwp.blueyonder.co.uk,nonspam,111,2,4.144144144,0.135135135,0.152016,1.699404762
229,albanarena.leisureconnection.co.uk,nonspam,10,2,4.6,0.1,0.310811,0.7
230,albion-wines.co.uk,nonspam,156,9,4.987179487,0.288461538,0.122539,1.768939394
231,albionwoods.co.uk,nonspam,53,2,4.509433962,0.226415094,0.0742697,1.237288136
233,albycrafts.co.uk,nonspam,307,2,4.983713355,0.068403909,0.262031,2.034330011
235,alchurch.webspace.fish.co.uk,nonspam,30,3,4.033333333,0.033333333,0.337047,1.02027027
236,aldershot-allotments.co.uk,nonspam,123,5,5.365853659,0,0.370163,1.9575
237,aldhammillequestrian.co.uk,nonspam,82,5,5.292682927,0.024390244,0.203852,1.592592593
238,alecbanmacconaill.co.uk,nonspam,12,2,3.833333333,0,0.0108184,0.682352941
240,alertsite.co.uk,nonspam,384,13,5.580729167,0.369791667,0.134206,2.252228164
241,alex.crystalmark.co.uk,nonspam,293,1,4.484641638,0.249146758,0.159389,1.933814681
244,alfieplastering.mysite.wanadoo-members.co.uk,nonspam,75,1,5.946666667,0.106666667,0.0768039,1.708196721
245,algoval.essex.ac.uk,nonspam,24,3,5.166666667,0,0.138085,1.072463768
247,alice.shef.ac.uk,nonspam,241,0,5.377593361,0,0.366205,2.014416776
248,alienfishg.asp-host.co.uk,nonspam,246,9,5.447154472,0,0.365222,1.984981227
249,alightfingersjuggling.loadeddice.co.uk,nonspam,144,8,4.513888889,0,0.14977,1.863849765
250,alinejohnson.pwp.blueyonder.co.uk,nonspam,63,4,4.047619048,0.380952381,0.056541,1.445454545
251,alisonroberts.co.uk,nonspam,8,1,7.375,0.125,0.0887218,0.770114943
259,allboats.co.uk,nonspam,1166,14,4.825900515,0.246998285,0.164571,2.663921569
266,allcockfunerals.co.uk,nonspam,11,6,5.454545455,0.545454545,0.0451807,0.755319149
267,allcountiesnannies.co.uk,nonspam,145,3,5.427586207,0.006896552,0.143378,1.778625954
268,allezvins.co.uk,nonspam,1056,0,4.943181818,0.06155303,0.297928,2.520481928
270,allianceleague.co.uk,nonspam,21,3,4.761904762,0.047619048,0.306748,1
272,allscans.radiantprints.co.uk,nonspam,19,3,5.631578947,3,0.00885175,1.115044248
273,allstylekickboxingmartialarts.2cuk.co.uk,nonspam,167,2,5.203592814,0.005988024,0.0935314,1.943714822
274,allthatglitters.org.uk,nonspam,30,0,5.033333333,0.9,0.0348006,1.064705882
276,allthingsthai.co.uk,nonspam,551,21,5.029038113,0.208711434,0.119843,2.201457919
278,alpha-carpets.co.uk,nonspam,437,7,4.636155606,0.251716247,0.177361,2.076728499
280,alpha.qmw.ac.uk,nonspam,22,3,4.318181818,0.045454545,0.296875,0.951219512
281,alphaimages.co.uk,nonspam,28,0,4.928571429,0.035714286,0.15917,1.144827586
282,alpinebeds.co.uk,nonspam,573,11,4.773123909,0.040139616,0.130755,2.69600652
283,alpineskiracing.co.uk,nonspam,28,1,6.071428571,0,0.108696,1.093922652
284,alpsltd.co.uk,nonspam,43,7,4.395348837,1.418604651,0.0542791,1.303370787
285,alric.co.uk,nonspam,142,10,4.549295775,0.274647887,0.289946,1.720524017
289,altis.ac.uk,nonspam,163,13,6.374233129,2.18404908,0.154544,2.086805556
291,alto.aber.ac.uk,nonspam,218,7,4.614678899,0.252293578,0.0608627,2.060606061
292,aluminium.matter.org.uk,nonspam,10,2,4.6,0.1,0.270588,0.7
293,alumni.cant.ac.uk,nonspam,10,2,4.6,0.1,0.275449,0.7
294,alvarezmorales.8bit.co.uk,nonspam,8,2,4.5,0.125,0.167442,0.556962025
297,amazingcameraobscura.co.uk,nonspam,19,2,4.421052632,0.052631579,0.277228,0.858333333
300,amberhealing.pwp.blueyonder.co.uk,nonspam,2293,2,4.7400785,0.04230266,0.0756173,2.701005541
302,ambervalleyrufc.8bit.co.uk,nonspam,23,3,4.782608696,0,0.096831,0.95
303,amberwood.org.uk,nonspam,734,1,4.739782016,0.068119891,0.275412,2.265053763
304,ambiance-interiors.co.uk,nonspam,211,2,5.881516588,0.018957346,0.0995987,2.364820847
308,ameerdesign.co.uk,nonspam,656,15,5.682926829,0.025914634,0.466058,2.764186633
310,americas.sas.ac.uk,nonspam,246,9,5.219512195,0.361788618,0.118036,2.03187251
311,amirv.pwp.blueyonder.co.uk,nonspam,267,1,4.565543071,0.02247191,0.151466,1.939947781
312,amis-online.org.uk,nonspam,163,9,5.533742331,0.006134969,0.207213,1.915467626
313,ammodels.co.uk,nonspam,117,14,4.982905983,0.076923077,0.216327,1.966292135
314,ampfield.org.uk,nonspam,121,2,4.520661157,0.041322314,0.0598861,1.708439898
315,amri.unn.ac.uk,nonspam,181,4,4.834254144,0.116022099,0.130968,1.981238274
316,amsoffice.co.uk,nonspam,295,4,4.73559322,0.040677966,0.210392,2.050909091
317,amsta.leeds.ac.uk,nonspam,23,3,4.304347826,0.043478261,0.310345,1
318,amtc.rushmoor.org.uk,nonspam,739,4,4.698240866,0.069012179,0.451085,2.356463346
319,amusedmoose.co.uk,nonspam,1273,15,5.428908091,0.019638649,0.202568,3.052592316
320,amvdirect.co.uk,nonspam,88,0,4.454545455,0.045454545,0.485149,1.690140845
321,anarchist-studies.org.uk,nonspam,346,4,5.468208092,0.043352601,0.53386,2.187683284
322,anatome.ncl.ac.uk,nonspam,334,12,5.362275449,0.230538922,0.0956526,2.053140097
323,anc.ed.ac.uk,nonspam,32,6,6.65625,0,0.0399325,1.296296296
325,anchorians.eastendvilla.co.uk,nonspam,171,5,4.83625731,0,0.112212,1.922928709
326,andaluciavillasspain.co.uk,nonspam,224,5,4.5,0.026785714,0.132179,1.833333333
328,andovernursinghome.co.uk,nonspam,125,4,4.824,0.152,0.141383,1.801980198
329,andrewsdecorating.co.uk,nonspam,313,14,5.734824281,0.408945687,0.154448,2.12286002
331,andyk.org.uk,nonspam,804,11,5.40920398,0.09079602,0.134803,2.598587998
332,andykillworth.co.uk,nonspam,21,3,4.714285714,0.047619048,0.315287,0.983606557
333,andypipkin.mysite.wanadoo-members.co.uk,nonspam,13,4,4.538461538,0.307692308,0.0158944,0.712871287
334,andysfishbar.srbbusiness.co.uk,nonspam,64,1,5.140625,0,0.118773,1.301324503
335,andyward.co.uk,nonspam,302,1,4.314569536,0.026490066,0.100401,1.915274463
336,anewgarden.co.uk,nonspam,74,1,5.716216216,0.013513514,0.214177,1.731707317
337,angel-btvs.co.uk,nonspam,2082,3,4.378482229,0.026897214,0.120987,2.715983507
341,anglo-nubian.org.uk,nonspam,265,7,4.366037736,0.045283019,0.0851863,1.929443691
342,anidea.co.uk,nonspam,10,3,5.8,0.1,0.231076,0.747252747
343,animaltalk.org.uk,nonspam,68,6,4.808823529,0,0.0653739,1.473880597
345,annalise.digfx.co.uk,nonspam,67,5,4.447761194,0.074626866,0.237072,1.477732794
347,annerice.com.mywap.o2.co.uk,nonspam,15,1,5.133333333,0.066666667,0.167756,0.893203883
349,annunciationbournemouth.org.uk,nonspam,66,2,5.893939394,0.272727273,0.0406012,1.404320988
350,anoncvs.aldigital.co.uk,nonspam,46,1,5.630434783,0.02173913,0.423895,1.314655172
351,anonymous.20six.co.uk,nonspam,1697,5,4.722451385,0.010606953,0.191635,2.836985101
352,anquet.co.uk,nonspam,365,3,5.663013699,0.142465753,0.0629818,2.640608035
354,ans-ltd.co.uk,nonspam,325,4,5.578461538,0,0.0717565,2.114737883
355,ansgeulaiche.co.uk,nonspam,298,12,5.953020134,0.587248322,0.231532,2.384349827
357,answers.tveasy.co.uk,nonspam,818,5,5.408312958,0.160146699,0.301445,2.827400216
358,anthony-harrison.photopro.co.uk,nonspam,252,17,5.166666667,0,0.199143,1.930434783
359,anthonynickoldsviolins.co.uk,nonspam,754,8,5.026525199,0.047745358,0.161037,2.950649351
361,anthropology.ac.uk,nonspam,21,3,4.666666667,0.047619048,0.312102,0.967479675
362,anti-dockingalliance.co.uk,nonspam,824,11,5.049757282,0.057038835,0.131919,2.403567985
363,anti-social.co.uk,nonspam,34,11,3.794117647,0.323529412,0.0846457,1.304
364,antibody.bath.ac.uk,nonspam,85,4,4.717647059,0,0.526247,1.609271523
365,anticapitalism.org.uk,nonspam,1135,0,4.859030837,0.100440529,0.0864583,2.54789272
366,antiguatamarind.co.uk,nonspam,8,2,4.5,0.125,0.167442,0.556962025
367,antiques-finder.co.uk,nonspam,359,14,4.6545961,0.715877437,0.155124,2.060913706
372,antiquity.ac.uk,nonspam,438,1,4.308219178,0.180365297,0.155552,2.391975309
378,aplacelikehomelondon.co.uk,nonspam,19,2,4.421052632,0.052631579,0.277228,0.88034188
379,apnearock.co.uk,nonspam,19,3,5.157894737,0,0.374046,0.966942149
380,apollo.open.ac.uk,nonspam,3,3,4.666666667,0,0.048951,0.298245614
381,apollonuts.co.uk,nonspam,9,10,5.333333333,0.666666667,0.0432432,0.647727273
383,appbasic.jettons.co.uk,nonspam,197,1,5.30964467,0.335025381,0.187019,1.954402516
384,appdev.co.uk,nonspam,153,5,5.202614379,0.08496732,0.375826,1.842718447
389,applications.mcc.ac.uk,nonspam,10,2,4.6,0.1,0.2875,0.7
392,appserver.glasgow.gov.uk,nonspam,123,3,4.804878049,0,0.465354,1.660465116
393,appserver.pads.arts.gla.ac.uk,nonspam,13,2,4.615384615,0,0.0846262,0.793478261
396,aquanatal.co.uk,nonspam,342,3,4.795321637,0.131578947,0.11936,2.122055675
397,aquent.co.uk,nonspam,41,5,3.512195122,2.024390244,0.0204082,1.201298701
398,arachnophiliac.co.uk,nonspam,381,5,4.921259843,0.049868766,0.0765587,2.162991371
399,arcade.demon.co.uk,nonspam,87,5,4.344827586,0.505747126,0.109597,1.620209059
400,archaeoastronomy.co.uk,nonspam,1148,1,4.777003484,0.354529617,0.18451,2.557655226
401,arche-wiki.st-and.ac.uk,nonspam,558,2,4.689964158,0.03046595,0.497529,2.496069182
402,archive.ast.cam.ac.uk,nonspam,346,3,5.161849711,0.063583815,0.360662,2.330054645
403,archive.cabinet-office.gov.uk,nonspam,138,3,5.492753623,0.536231884,0.0831323,1.851239669
405,archive.comlab.ox.ac.uk,nonspam,469,3,5.671641791,0,0.238053,2.395865237
406,archive.food.gov.uk,nonspam,35,4,6.085714286,0.4,0.084996,1.284974093
407,archive.museophile.sbu.ac.uk,nonspam,366,4,5.396174863,0.00273224,0.125317,2.120471014
412,archives.powys.gov.uk,nonspam,22,3,4.545454545,0.045454545,0.296736,0.991869919
413,archtopguitars.co.uk,nonspam,124,2,4.766129032,0.10483871,0.0748575,1.61036036
414,ardmairbaycottages.co.uk,nonspam,225,10,4.791111111,0.04,0.234195,1.927514793
415,area51.upsu.plym.ac.uk,nonspam,191,10,4.685863874,0.319371728,0.231087,1.843803056
416,argyllproperty.co.uk,nonspam,250,14,5.18,0.072,0.0758064,2.340909091
417,ariada.uea.ac.uk,nonspam,43,1,3.139534884,0.093023256,0.0222772,1.210884354
418,aric.co.uk,nonspam,13,2,4.307692308,0,0.0561685,0.734042553
419,arimathea.co.uk,nonspam,5433,1,5.04454261,0,0.634098,3.17294686
421,armatura.connectfree.co.uk,nonspam,320,2,4.4875,0.109375,0.264165,1.87206823
422,armeth.webspace.fish.co.uk,nonspam,30,3,3.966666667,0.033333333,0.335211,1.013605442
425,armyvehiclesbyssengineering.8bit.co.uk,nonspam,227,1,4.290748899,0.004405286,0.278684,1.828006088
426,arolosweyr.co.uk,nonspam,10,3,5.8,0.1,0.237705,0.747252747
427,aroma-ai.co.uk,nonspam,158,1,1.626582278,1.835443038,0.0374145,1.646825397
429,aromaessence.co.uk,nonspam,167,1,4.329341317,0.053892216,0.0716196,1.68241966
430,aromapot.co.uk,nonspam,386,7,5.056994819,0.041450777,0.102926,2.321747766
432,arpc65.arm.ac.uk,nonspam,94,5,4.531914894,0.425531915,0.161059,1.543026706
433,arpg.org.uk,nonspam,280,4,4.935714286,0.332142857,0.2194,2.044280443
434,arsenal.timglass.co.uk,nonspam,10,0,5.9,0,0.766234,0.741935484
435,art-d.co.uk,nonspam,20,2,3.4,0.05,0.241135,0.830188679
436,art.eon-solutions.co.uk,nonspam,104,9,5.461538462,0,0.0560213,1.731958763
437,art.ntu.ac.uk,nonspam,10,2,5,0.1,0.322581,0.697674419
438,artcommunity.co.uk,nonspam,10,6,5.6,0.7,0.0641466,0.88
439,artcorp.co.uk,nonspam,21,3,4.428571429,0.047619048,0.301948,0.966101695
440,artdecoproductions.co.uk,nonspam,511,7,4.544031311,0.04109589,0.150623,2.295786062
442,artoki.co.uk,nonspam,561,10,4.062388592,0.347593583,0.170942,2.167938931
443,arts-humanities.cant.ac.uk,nonspam,123,10,4.682926829,0.18699187,0.0420285,1.721674877
444,arts-humanities.canterbury.ac.uk,nonspam,123,10,4.682926829,0.18699187,0.0420285,1.721674877
